City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Beloha,MG,2020-08-19 00:36:14,-25.17,45.05,64.76,60,0,6.87
147,Manacapuru,BR,2020-08-19 00:36:14,-3.3,-60.62,75.2,100,75,2.66
148,Goderich,CA,2020-08-19 00:36:15,43.75,-81.72,66.0,71,0,13.96
149,Van,TR,2020-08-19 00:36:15,38.49,43.38,59.0,62,0,4.7
150,Sorland,NO,2020-08-19 00:32:58,67.67,12.69,52.25,80,100,8.5
151,Thompson,CA,2020-08-19 00:26:08,55.74,-97.86,68.0,64,75,5.82
152,Oxilithos,GR,2020-08-19 00:35:56,38.58,24.12,71.01,67,0,1.01
153,Monywa,MM,2020-08-19 00:36:17,22.12,95.13,75.29,91,100,10.51
154,Chuy,UY,2020-08-19 00:31:33,-33.7,-53.46,51.69,92,0,3.65
155,Naze,JP,2020-08-19 00:36:18,28.37,129.48,89.6,70,20,9.17
156,Nunkini,MX,2020-08-19 00:36:18,20.33,-90.18,84.2,74,5,9.17
157,Souillac,MU,2020-08-19 00:29:01,-20.52,57.52,71.6,73,40,14.99
158,Kupino,RU,2020-08-19 00:36:19,54.37,77.3,57.18,68,82,9.66
159,Ornskoldsvik,SE,2020-08-19 00:36:20,63.29,18.72,60.8,93,5,3.36
160,Trapani,IT,2020-08-19 00:36:20,37.83,12.67,75.0,88,100,1.12
161,Port Elizabeth,ZA,2020-08-19 00:23:49,-33.92,25.57,51.8,87,75,18.34
162,Pevek,RU,2020-08-19 00:29:35,69.7,170.31,42.24,78,81,10.83
163,Lerwick,GB,2020-08-19 00:36:22,60.15,-1.15,57.2,100,100,3.65
164,Cayenne,GF,2020-08-19 00:34:21,4.93,-52.33,80.6,83,0,3.36
165,Namibe,AO,2020-08-19 00:29:36,-15.2,12.15,60.6,79,56,3.83
166,Hailar,CN,2020-08-19 00:30:55,49.2,119.7,57.72,52,0,4.94
167,Korhogo,CI,2020-08-19 00:36:23,9.45,-5.63,71.65,95,5,5.82
168,Kikwit,CD,2020-08-19 00:36:24,-5.04,18.82,80.4,49,0,1.83
169,Murygino,RU,2020-08-19 00:36:24,58.74,49.46,41.32,90,0,7.96
170,Palu,ID,2020-08-19 00:35:58,-0.89,119.87,84.33,57,99,1.19
171,Bambous Virieux,MU,2020-08-19 00:29:05,-20.34,57.76,71.6,73,40,14.99
172,Beringovskiy,RU,2020-08-19 00:32:00,63.05,179.32,54.75,57,0,10.02
173,Melilla,ES,2020-08-19 00:36:26,35.29,-2.94,78.8,74,0,3.36
174,Ladario,BR,2020-08-19 00:36:27,-19.0,-57.6,80.85,33,0,1.52
175,Inirida,CO,2020-08-19 00:36:27,3.87,-67.92,74.95,89,99,1.32
176,Surt,LY,2020-08-19 00:32:46,31.21,16.59,78.67,71,0,1.41
177,Bougouni,ML,2020-08-19 00:36:28,11.42,-7.48,74.39,93,99,3.53
